"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","Year","Period","State"
"18,000",2017,"FIRST OF JAN","ARKANSAS"
"1,170,000",2017,"FIRST OF JAN","CALIFORNIA"
"9,500",2017,"FIRST OF JAN","COLORADO"
"3,100",2017,"FIRST OF JAN","CONNECTICUT"
"260,000",2017,"FIRST OF JAN","FLORIDA"
"123,000",2017,"FIRST OF JAN","GEORGIA"
"13,000",2017,"FIRST OF JAN","HAWAII"
"95,000",2017,"FIRST OF JAN","IDAHO"
"11,000",2017,"FIRST OF JAN","ILLINOIS"
"7,000",2017,"FIRST OF JAN","INDIANA"
"10,000",2017,"FIRST OF JAN","IOWA"
"3,800",2017,"FIRST OF JAN","KANSAS"
"6,500",2017,"FIRST OF JAN","KENTUCKY"
"44,000",2017,"FIRST OF JAN","LOUISIANA"
"2,700",2017,"FIRST OF JAN","MAINE"
"9,000",2017,"FIRST OF JAN","MARYLAND"
"3,300",2017,"FIRST OF JAN","MASSACHUSETTS"
"29,000",2017,"FIRST OF JAN","MICHIGAN"
"27,000",2017,"FIRST OF JAN","MINNESOTA"
"31,000",2017,"FIRST OF JAN","MISSISSIPPI"
"7,000",2017,"FIRST OF JAN","MISSOURI"
"18,500",2017,"FIRST OF JAN","MONTANA"
"7,500",2017,"FIRST OF JAN","NEBRASKA"
"6,000",2017,"FIRST OF JAN","NEW JERSEY"
"5,500",2017,"FIRST OF JAN","NEW MEXICO"
"32,000",2017,"FIRST OF JAN","NEW YORK"
"16,000",2017,"FIRST OF JAN","NORTH CAROLINA"
"50,000",2017,"FIRST OF JAN","NORTH DAKOTA"
"15,500",2017,"FIRST OF JAN","OHIO"
"26,000",2017,"FIRST OF JAN","OKLAHOMA"
"71,000",2017,"FIRST OF JAN","OREGON"
"6,190",2017,"FIRST OF JAN","OTHER STATES"
"17,000",2017,"FIRST OF JAN","PENNSYLVANIA"
"17,000",2017,"FIRST OF JAN","SOUTH CAROLINA"
"21,000",2017,"FIRST OF JAN","SOUTH DAKOTA"
"8,500",2017,"FIRST OF JAN","TENNESSEE"
"275,000",2017,"FIRST OF JAN","TEXAS"
"16,000",2017,"FIRST OF JAN","UTAH"
"6,500",2017,"FIRST OF JAN","VERMONT"
"8,000",2017,"FIRST OF JAN","VIRGINIA"
"68,000",2017,"FIRST OF JAN","WASHINGTON"
"5,500",2017,"FIRST OF JAN","WEST VIRGINIA"
"17,000",2017,"FIRST OF JAN","WISCONSIN"
"6,500",2017,"FIRST OF JAN","WYOMING"
"7,000",2017,"FIRST OF JUL","ALABAMA"
"26,000",2017,"FIRST OF JUL","ARIZONA"
"29,000",2017,"FIRST OF JUL","ARKANSAS"
"590,000",2017,"FIRST OF JUL","CALIFORNIA"
"35,000",2017,"FIRST OF JUL","COLORADO"
"3,500",2017,"FIRST OF JUL","CONNECTICUT"
"176,000",2017,"FIRST OF JUL","FLORIDA"
"121,000",2017,"FIRST OF JUL","GEORGIA"
"15,000",2017,"FIRST OF JUL","HAWAII"
"89,000",2017,"FIRST OF JUL","IDAHO"
"13,000",2017,"FIRST OF JUL","ILLINOIS"
"13,000",2017,"FIRST OF JUL","INDIANA"
"40,000",2017,"FIRST OF JUL","IOWA"
"7,000",2017,"FIRST OF JUL","KANSAS"
"9,000",2017,"FIRST OF JUL","KENTUCKY"
"64,000",2017,"FIRST OF JUL","LOUISIANA"
"5,500",2017,"FIRST OF JUL","MAINE"
"8,500",2017,"FIRST OF JUL","MARYLAND"
"9,000",2017,"FIRST OF JUL","MASSACHUSETTS"
"103,000",2017,"FIRST OF JUL","MICHIGAN"
"136,000",2017,"FIRST OF JUL","MINNESOTA"
"24,000",2017,"FIRST OF JUL","MISSISSIPPI"
"9,000",2017,"FIRST OF JUL","MISSOURI"
"154,000",2017,"FIRST OF JUL","MONTANA"
"46,000",2017,"FIRST OF JUL","NEBRASKA"
"16,000",2017,"FIRST OF JUL","NEW JERSEY"
"8,500",2017,"FIRST OF JUL","NEW MEXICO"
"59,000",2017,"FIRST OF JUL","NEW YORK"
"26,000",2017,"FIRST OF JUL","NORTH CAROLINA"
"470,000",2017,"FIRST OF JUL","NORTH DAKOTA"
"23,000",2017,"FIRST OF JUL","OHIO"
"4,400",2017,"FIRST OF JUL","OKLAHOMA"
"94,000",2017,"FIRST OF JUL","OREGON"
"8,100",2017,"FIRST OF JUL","OTHER STATES"
"18,500",2017,"FIRST OF JUL","PENNSYLVANIA"
"14,500",2017,"FIRST OF JUL","SOUTH CAROLINA"
"152,000",2017,"FIRST OF JUL","SOUTH DAKOTA"
"10,000",2017,"FIRST OF JUL","TENNESSEE"
"104,000",2017,"FIRST OF JUL","TEXAS"
"35,000",2017,"FIRST OF JUL","UTAH"
"7,500",2017,"FIRST OF JUL","VERMONT"
"11,500",2017,"FIRST OF JUL","VIRGINIA"
"82,000",2017,"FIRST OF JUL","WASHINGTON"
"9,000",2017,"FIRST OF JUL","WEST VIRGINIA"
"74,000",2017,"FIRST OF JUL","WISCONSIN"
"35,000",2017,"FIRST OF JUL","WYOMING"
"7,500",2017,"FIRST OF OCT","ALABAMA"
"27,000",2017,"FIRST OF OCT","ARIZONA"
"25,000",2017,"FIRST OF OCT","ARKANSAS"
"680,000",2017,"FIRST OF OCT","CALIFORNIA"
"34,000",2017,"FIRST OF OCT","COLORADO"
"4,000",2017,"FIRST OF OCT","CONNECTICUT"
"180,000",2017,"FIRST OF OCT","FLORIDA"
"125,000",2017,"FIRST OF OCT","GEORGIA"
"15,000",2017,"FIRST OF OCT","HAWAII"
"113,000",2017,"FIRST OF OCT","IDAHO"
"13,500",2017,"FIRST OF OCT","ILLINOIS"
"11,500",2017,"FIRST OF OCT","INDIANA"
"45,000",2017,"FIRST OF OCT","IOWA"
"6,500",2017,"FIRST OF OCT","KANSAS"
"7,500",2017,"FIRST OF OCT","KENTUCKY"
"58,000",2017,"FIRST OF OCT","LOUISIANA"
"5,500",2017,"FIRST OF OCT","MAINE"
"8,000",2017,"FIRST OF OCT","MARYLAND"
"6,000",2017,"FIRST OF OCT","MASSACHUSETTS"
"88,000",2017,"FIRST OF OCT","MICHIGAN"
"98,000",2017,"FIRST OF OCT","MINNESOTA"
"14,000",2017,"FIRST OF OCT","MISSISSIPPI"
"9,500",2017,"FIRST OF OCT","MISSOURI"
"115,000",2017,"FIRST OF OCT","MONTANA"
"42,000",2017,"FIRST OF OCT","NEBRASKA"
"15,500",2017,"FIRST OF OCT","NEW JERSEY"
"8,000",2017,"FIRST OF OCT","NEW MEXICO"
"51,000",2017,"FIRST OF OCT","NEW YORK"
"23,000",2017,"FIRST OF OCT","NORTH CAROLINA"
"410,000",2017,"FIRST OF OCT","NORTH DAKOTA"
"18,500",2017,"FIRST OF OCT","OHIO"
"3,700",2017,"FIRST OF OCT","OKLAHOMA"
"94,000",2017,"FIRST OF OCT","OREGON"
"6,070",2017,"FIRST OF OCT","OTHER STATES"
"24,000",2017,"FIRST OF OCT","PENNSYLVANIA"
"12,500",2017,"FIRST OF OCT","SOUTH CAROLINA"
"111,000",2017,"FIRST OF OCT","SOUTH DAKOTA"
"8,500",2017,"FIRST OF OCT","TENNESSEE"
"127,000",2017,"FIRST OF OCT","TEXAS"
"29,000",2017,"FIRST OF OCT","UTAH"
"6,500",2017,"FIRST OF OCT","VERMONT"
"9,500",2017,"FIRST OF OCT","VIRGINIA"
"66,000",2017,"FIRST OF OCT","WASHINGTON"
"8,500",2017,"FIRST OF OCT","WEST VIRGINIA"
"51,000",2017,"FIRST OF OCT","WISCONSIN"
"28,000",2017,"FIRST OF OCT","WYOMING"
"7,000",2017,"MARKETING YEAR","ALABAMA"
"22,000",2017,"MARKETING YEAR","ARIZONA"
"29,000",2017,"MARKETING YEAR","ARKANSAS"
"335,000",2017,"MARKETING YEAR","CALIFORNIA"
"33,000",2017,"MARKETING YEAR","COLORADO"
"205,000",2017,"MARKETING YEAR","FLORIDA"
"99,000",2017,"MARKETING YEAR","GEORGIA"
"19,000",2017,"MARKETING YEAR","HAWAII"
"95,000",2017,"MARKETING YEAR","IDAHO"
"11,000",2017,"MARKETING YEAR","ILLINOIS"
"8,000",2017,"MARKETING YEAR","INDIANA"
"35,000",2017,"MARKETING YEAR","IOWA"
"7,000",2017,"MARKETING YEAR","KANSAS"
"5,000",2017,"MARKETING YEAR","KENTUCKY"
"43,000",2017,"MARKETING YEAR","LOUISIANA"
"12,000",2017,"MARKETING YEAR","MAINE"
"87,000",2017,"MARKETING YEAR","MICHIGAN"
"126,000",2017,"MARKETING YEAR","MINNESOTA"
"18,000",2017,"MARKETING YEAR","MISSISSIPPI"
"8,000",2017,"MARKETING YEAR","MISSOURI"
"145,000",2017,"MARKETING YEAR","MONTANA"
"42,000",2017,"MARKETING YEAR","NEBRASKA"
"13,000",2017,"MARKETING YEAR","NEW JERSEY"
"57,000",2017,"MARKETING YEAR","NEW YORK"
"11,000",2017,"MARKETING YEAR","NORTH CAROLINA"
"455,000",2017,"MARKETING YEAR","NORTH DAKOTA"
"15,000",2017,"MARKETING YEAR","OHIO"
"78,000",2017,"MARKETING YEAR","OREGON"
"35,000",2017,"MARKETING YEAR","OTHER STATES"
"16,000",2017,"MARKETING YEAR","PENNSYLVANIA"
"16,000",2017,"MARKETING YEAR","SOUTH CAROLINA"
"255,000",2017,"MARKETING YEAR","SOUTH DAKOTA"
"7,000",2017,"MARKETING YEAR","TENNESSEE"
"120,000",2017,"MARKETING YEAR","TEXAS"
"27,000",2017,"MARKETING YEAR","UTAH"
"7,000",2017,"MARKETING YEAR","VERMONT"
"6,000",2017,"MARKETING YEAR","VIRGINIA"
"77,000",2017,"MARKETING YEAR","WASHINGTON"
"6,000",2017,"MARKETING YEAR","WEST VIRGINIA"
"53,000",2017,"MARKETING YEAR","WISCONSIN"
"39,000",2017,"MARKETING YEAR","WYOMING"
NA,2017,"OCT THRU DEC","NEW MEXICO"
NA,2017,"OCT THRU DEC","OKLAHOMA"
NA,2017,"OCT THRU DEC","SOUTH DAKOTA"
"8,000",2016,"FIRST OF APR","ALABAMA"
"22,000",2016,"FIRST OF APR","ARIZONA"
"24,000",2016,"FIRST OF APR","ARKANSAS"
"1,110,000",2016,"FIRST OF APR","CALIFORNIA"
"9,500",2016,"FIRST OF APR","COLORADO"
"2,500",2016,"FIRST OF APR","CONNECTICUT"
"240,000",2016,"FIRST OF APR","FLORIDA"
"108,000",2016,"FIRST OF APR","GEORGIA"
"13,500",2016,"FIRST OF APR","HAWAII"
"60,000",2016,"FIRST OF APR","IDAHO"
"9,000",2016,"FIRST OF APR","ILLINOIS"
"4,300",2016,"FIRST OF APR","INDIANA"
"10,500",2016,"FIRST OF APR","IOWA"
"4,700",2016,"FIRST OF APR","KANSAS"
"5,500",2016,"FIRST OF APR","KENTUCKY"
"52,000",2016,"FIRST OF APR","LOUISIANA"
"3,600",2016,"FIRST OF APR","MAINE"
"8,000",2016,"FIRST OF APR","MARYLAND"
"4,200",2016,"FIRST OF APR","MASSACHUSETTS"
"40,000",2016,"FIRST OF APR","MICHIGAN"
"27,000",2016,"FIRST OF APR","MINNESOTA"
"85,000",2016,"FIRST OF APR","MISSISSIPPI"
"12,000",2016,"FIRST OF APR","MISSOURI"
"62,000",2016,"FIRST OF APR","MONTANA"
"19,500",2016,"FIRST OF APR","NEBRASKA"
"4,200",2016,"FIRST OF APR","NEW JERSEY"
"6,500",2016,"FIRST OF APR","NEW MEXICO"
"31,000",2016,"FIRST OF APR","NEW YORK"
"23,000",2016,"FIRST OF APR","NORTH CAROLINA"
"110,000",2016,"FIRST OF APR","NORTH DAKOTA"
"14,000",2016,"FIRST OF APR","OHIO"
"12,000",2016,"FIRST OF APR","OKLAHOMA"
"77,000",2016,"FIRST OF APR","OREGON"
"7,970",2016,"FIRST OF APR","OTHER STATES"
"11,000",2016,"FIRST OF APR","PENNSYLVANIA"
"12,500",2016,"FIRST OF APR","SOUTH CAROLINA"
"51,000",2016,"FIRST OF APR","SOUTH DAKOTA"
"8,000",2016,"FIRST OF APR","TENNESSEE"
"340,000",2016,"FIRST OF APR","TEXAS"
"14,500",2016,"FIRST OF APR","UTAH"
"5,000",2016,"FIRST OF APR","VERMONT"
"6,000",2016,"FIRST OF APR","VIRGINIA"
"91,000",2016,"FIRST OF APR","WASHINGTON"
"7,000",2016,"FIRST OF APR","WEST VIRGINIA"
"18,500",2016,"FIRST OF APR","WISCONSIN"
"6,500",2016,"FIRST OF APR","WYOMING"
"7,500",2016,"FIRST OF JAN","ALABAMA"
"30,000",2016,"FIRST OF JAN","ARIZONA"
"27,000",2016,"FIRST OF JAN","ARKANSAS"
"1,130,000",2016,"FIRST OF JAN","CALIFORNIA"
"5,000",2016,"FIRST OF JAN","COLORADO"
"2,700",2016,"FIRST OF JAN","CONNECTICUT"
"275,000",2016,"FIRST OF JAN","FLORIDA"
"100,000",2016,"FIRST OF JAN","GEORGIA"
"15,000",2016,"FIRST OF JAN","HAWAII"
"91,000",2016,"FIRST OF JAN","IDAHO"
"8,500",2016,"FIRST OF JAN","ILLINOIS"
"6,500",2016,"FIRST OF JAN","INDIANA"
"13,000",2016,"FIRST OF JAN","IOWA"
"5,000",2016,"FIRST OF JAN","KANSAS"
"6,500",2016,"FIRST OF JAN","KENTUCKY"
"54,000",2016,"FIRST OF JAN","LOUISIANA"
"2,200",2016,"FIRST OF JAN","MAINE"
"7,500",2016,"FIRST OF JAN","MARYLAND"
"3,000",2016,"FIRST OF JAN","MASSACHUSETTS"
"25,000",2016,"FIRST OF JAN","MICHIGAN"
"36,000",2016,"FIRST OF JAN","MINNESOTA"
"21,000",2016,"FIRST OF JAN","MISSISSIPPI"
"10,000",2016,"FIRST OF JAN","MISSOURI"
"16,500",2016,"FIRST OF JAN","MONTANA"
"11,000",2016,"FIRST OF JAN","NEBRASKA"
"6,000",2016,"FIRST OF JAN","NEW JERSEY"
"6,000",2016,"FIRST OF JAN","NEW MEXICO"
"31,000",2016,"FIRST OF JAN","NEW YORK"
"18,500",2016,"FIRST OF JAN","NORTH CAROLINA"
"89,000",2016,"FIRST OF JAN","NORTH DAKOTA"
"16,500",2016,"FIRST OF JAN","OHIO"
"13,500",2016,"FIRST OF JAN","OKLAHOMA"
"68,000",2016,"FIRST OF JAN","OREGON"
"7,340",2016,"FIRST OF JAN","OTHER STATES"
"12,500",2016,"FIRST OF JAN","PENNSYLVANIA"
"16,500",2016,"FIRST OF JAN","SOUTH CAROLINA"
"47,000",2016,"FIRST OF JAN","SOUTH DAKOTA"
"9,000",2016,"FIRST OF JAN","TENNESSEE"
"240,000",2016,"FIRST OF JAN","TEXAS"
"12,000",2016,"FIRST OF JAN","UTAH"
"5,500",2016,"FIRST OF JAN","VERMONT"
"6,500",2016,"FIRST OF JAN","VIRGINIA"
"77,000",2016,"FIRST OF JAN","WASHINGTON"
"6,500",2016,"FIRST OF JAN","WEST VIRGINIA"
"20,000",2016,"FIRST OF JAN","WISCONSIN"
"2,700",2016,"FIRST OF JAN","WYOMING"
"8,000",2016,"FIRST OF JUL","ALABAMA"
"30,000",2016,"FIRST OF JUL","ARIZONA"
"32,000",2016,"FIRST OF JUL","ARKANSAS"
"740,000",2016,"FIRST OF JUL","CALIFORNIA"
"33,000",2016,"FIRST OF JUL","COLORADO"
"3,100",2016,"FIRST OF JUL","CONNECTICUT"
"200,000",2016,"FIRST OF JUL","FLORIDA"
"102,000",2016,"FIRST OF JUL","GEORGIA"
"13,500",2016,"FIRST OF JUL","HAWAII"
"79,000",2016,"FIRST OF JUL","IDAHO"
"11,000",2016,"FIRST OF JUL","ILLINOIS"
"9,500",2016,"FIRST OF JUL","INDIANA"
"50,000",2016,"FIRST OF JUL","IOWA"
"8,000",2016,"FIRST OF JUL","KANSAS"
"7,500",2016,"FIRST OF JUL","KENTUCKY"
"51,000",2016,"FIRST OF JUL","LOUISIANA"
"5,500",2016,"FIRST OF JUL","MAINE"
"7,000",2016,"FIRST OF JUL","MARYLAND"
"9,500",2016,"FIRST OF JUL","MASSACHUSETTS"
"108,000",2016,"FIRST OF JUL","MICHIGAN"
"132,000",2016,"FIRST OF JUL","MINNESOTA"
"19,000",2016,"FIRST OF JUL","MISSISSIPPI"
"13,500",2016,"FIRST OF JUL","MISSOURI"
"147,000",2016,"FIRST OF JUL","MONTANA"
"45,000",2016,"FIRST OF JUL","NEBRASKA"
"18,000",2016,"FIRST OF JUL","NEW JERSEY"
"6,500",2016,"FIRST OF JUL","NEW MEXICO"
"56,000",2016,"FIRST OF JUL","NEW YORK"
"25,000",2016,"FIRST OF JUL","NORTH CAROLINA"
"510,000",2016,"FIRST OF JUL","NORTH DAKOTA"
"21,000",2016,"FIRST OF JUL","OHIO"
"3,700",2016,"FIRST OF JUL","OKLAHOMA"
"107,000",2016,"FIRST OF JUL","OREGON"
"11,880",2016,"FIRST OF JUL","OTHER STATES"
"19,000",2016,"FIRST OF JUL","PENNSYLVANIA"
"13,000",2016,"FIRST OF JUL","SOUTH CAROLINA"
"178,000",2016,"FIRST OF JUL","SOUTH DAKOTA"
"10,000",2016,"FIRST OF JUL","TENNESSEE"
"129,000",2016,"FIRST OF JUL","TEXAS"
"27,000",2016,"FIRST OF JUL","UTAH"
"6,500",2016,"FIRST OF JUL","VERMONT"
"8,000",2016,"FIRST OF JUL","VIRGINIA"
"57,000",2016,"FIRST OF JUL","WASHINGTON"
"7,500",2016,"FIRST OF JUL","WEST VIRGINIA"
"71,000",2016,"FIRST OF JUL","WISCONSIN"
"32,000",2016,"FIRST OF JUL","WYOMING"
"7,000",2016,"FIRST OF OCT","ALABAMA"
"29,000",2016,"FIRST OF OCT","ARIZONA"
"28,000",2016,"FIRST OF OCT","ARKANSAS"
"770,000",2016,"FIRST OF OCT","CALIFORNIA"
"30,000",2016,"FIRST OF OCT","COLORADO"
"3,100",2016,"FIRST OF OCT","CONNECTICUT"
"255,000",2016,"FIRST OF OCT","FLORIDA"
"96,000",2016,"FIRST OF OCT","GEORGIA"
"13,500",2016,"FIRST OF OCT","HAWAII"
"121,000",2016,"FIRST OF OCT","IDAHO"
"9,000",2016,"FIRST OF OCT","ILLINOIS"
"7,500",2016,"FIRST OF OCT","INDIANA"
"54,000",2016,"FIRST OF OCT","IOWA"
"5,000",2016,"FIRST OF OCT","KANSAS"
"7,500",2016,"FIRST OF OCT","KENTUCKY"
"48,000",2016,"FIRST OF OCT","LOUISIANA"
"3,500",2016,"FIRST OF OCT","MAINE"
"7,500",2016,"FIRST OF OCT","MARYLAND"
"8,000",2016,"FIRST OF OCT","MASSACHUSETTS"
"101,000",2016,"FIRST OF OCT","MICHIGAN"
"113,000",2016,"FIRST OF OCT","MINNESOTA"
"17,500",2016,"FIRST OF OCT","MISSISSIPPI"
"9,000",2016,"FIRST OF OCT","MISSOURI"
"124,000",2016,"FIRST OF OCT","MONTANA"
"37,000",2016,"FIRST OF OCT","NEBRASKA"
"12,000",2016,"FIRST OF OCT","NEW JERSEY"
"7,000",2016,"FIRST OF OCT","NEW MEXICO"
"48,000",2016,"FIRST OF OCT","NEW YORK"
"25,000",2016,"FIRST OF OCT","NORTH CAROLINA"
"385,000",2016,"FIRST OF OCT","NORTH DAKOTA"
"19,500",2016,"FIRST OF OCT","OHIO"
"3,100",2016,"FIRST OF OCT","OKLAHOMA"
"98,000",2016,"FIRST OF OCT","OREGON"
"6,360",2016,"FIRST OF OCT","OTHER STATES"
"21,000",2016,"FIRST OF OCT","PENNSYLVANIA"
"12,000",2016,"FIRST OF OCT","SOUTH CAROLINA"
"146,000",2016,"FIRST OF OCT","SOUTH DAKOTA"
"9,000",2016,"FIRST OF OCT","TENNESSEE"
"136,000",2016,"FIRST OF OCT","TEXAS"
"30,000",2016,"FIRST OF OCT","UTAH"
"6,500",2016,"FIRST OF OCT","VERMONT"
"7,000",2016,"FIRST OF OCT","VIRGINIA"
"65,000",2016,"FIRST OF OCT","WASHINGTON"
"7,500",2016,"FIRST OF OCT","WEST VIRGINIA"
"59,000",2016,"FIRST OF OCT","WISCONSIN"
"25,000",2016,"FIRST OF OCT","WYOMING"
"7,000",2016,"MARKETING YEAR","ALABAMA"
"27,000",2016,"MARKETING YEAR","ARIZONA"
"24,000",2016,"MARKETING YEAR","ARKANSAS"
"310,000",2016,"MARKETING YEAR","CALIFORNIA"
"32,000",2016,"MARKETING YEAR","COLORADO"
"215,000",2016,"MARKETING YEAR","FLORIDA"
"96,000",2016,"MARKETING YEAR","GEORGIA"
"18,000",2016,"MARKETING YEAR","HAWAII"
"97,000",2016,"MARKETING YEAR","IDAHO"
"10,000",2016,"MARKETING YEAR","ILLINOIS"
"8,000",2016,"MARKETING YEAR","INDIANA"
"37,000",2016,"MARKETING YEAR","IOWA"
"7,000",2016,"MARKETING YEAR","KANSAS"
"5,000",2016,"MARKETING YEAR","KENTUCKY"
"50,000",2016,"MARKETING YEAR","LOUISIANA"
"12,000",2016,"MARKETING YEAR","MAINE"
"89,000",2016,"MARKETING YEAR","MICHIGAN"
"124,000",2016,"MARKETING YEAR","MINNESOTA"
"19,000",2016,"MARKETING YEAR","MISSISSIPPI"
"8,000",2016,"MARKETING YEAR","MISSOURI"
"159,000",2016,"MARKETING YEAR","MONTANA"
"48,000",2016,"MARKETING YEAR","NEBRASKA"
"12,000",2016,"MARKETING YEAR","NEW JERSEY"
"64,000",2016,"MARKETING YEAR","NEW YORK"
"12,000",2016,"MARKETING YEAR","NORTH CAROLINA"
"485,000",2016,"MARKETING YEAR","NORTH DAKOTA"
"15,000",2016,"MARKETING YEAR","OHIO"
"74,000",2016,"MARKETING YEAR","OREGON"
"37,000",2016,"MARKETING YEAR","OTHER STATES"
"19,000",2016,"MARKETING YEAR","PENNSYLVANIA"
"16,000",2016,"MARKETING YEAR","SOUTH CAROLINA"
"280,000",2016,"MARKETING YEAR","SOUTH DAKOTA"
"6,000",2016,"MARKETING YEAR","TENNESSEE"
"133,000",2016,"MARKETING YEAR","TEXAS"
"31,000",2016,"MARKETING YEAR","UTAH"
"6,000",2016,"MARKETING YEAR","VERMONT"
"5,000",2016,"MARKETING YEAR","VIRGINIA"
"84,000",2016,"MARKETING YEAR","WASHINGTON"
"5,000",2016,"MARKETING YEAR","WEST VIRGINIA"
"54,000",2016,"MARKETING YEAR","WISCONSIN"
"40,000",2016,"MARKETING YEAR","WYOMING"
"7,500",2015,"FIRST OF APR","ALABAMA"
"33,000",2015,"FIRST OF APR","ARIZONA"
"13,500",2015,"FIRST OF APR","ARKANSAS"
"1,040,000",2015,"FIRST OF APR","CALIFORNIA"
"12,000",2015,"FIRST OF APR","COLORADO"
"3,000",2015,"FIRST OF APR","CONNECTICUT"
"210,000",2015,"FIRST OF APR","FLORIDA"
"114,000",2015,"FIRST OF APR","GEORGIA"
"13,500",2015,"FIRST OF APR","HAWAII"
"62,000",2015,"FIRST OF APR","IDAHO"
"9,500",2015,"FIRST OF APR","ILLINOIS"
"8,000",2015,"FIRST OF APR","INDIANA"
"12,500",2015,"FIRST OF APR","IOWA"
"6,000",2015,"FIRST OF APR","KANSAS"
"7,500",2015,"FIRST OF APR","KENTUCKY"
"44,000",2015,"FIRST OF APR","LOUISIANA"
"4,600",2015,"FIRST OF APR","MAINE"
"8,000",2015,"FIRST OF APR","MARYLAND"
"4,100",2015,"FIRST OF APR","MASSACHUSETTS"
"58,000",2015,"FIRST OF APR","MICHIGAN"
"71,000",2015,"FIRST OF APR","MINNESOTA"
"89,000",2015,"FIRST OF APR","MISSISSIPPI"
"11,500",2015,"FIRST OF APR","MISSOURI"
"36,000",2015,"FIRST OF APR","MONTANA"
"29,000",2015,"FIRST OF APR","NEBRASKA"
"8,500",2015,"FIRST OF APR","NEW JERSEY"
"6,500",2015,"FIRST OF APR","NEW MEXICO"
"24,000",2015,"FIRST OF APR","NEW YORK"
"19,500",2015,"FIRST OF APR","NORTH CAROLINA"
"121,000",2015,"FIRST OF APR","NORTH DAKOTA"
"17,500",2015,"FIRST OF APR","OHIO"
"25,000",2015,"FIRST OF APR","OKLAHOMA"
"82,000",2015,"FIRST OF APR","OREGON"
"8,600",2015,"FIRST OF APR","OTHER STATES"
"15,500",2015,"FIRST OF APR","PENNSYLVANIA"
"17,500",2015,"FIRST OF APR","SOUTH CAROLINA"
"100,000",2015,"FIRST OF APR","SOUTH DAKOTA"
"7,500",2015,"FIRST OF APR","TENNESSEE"
"305,000",2015,"FIRST OF APR","TEXAS"
"24,000",2015,"FIRST OF APR","UTAH"
"6,000",2015,"FIRST OF APR","VERMONT"
"7,500",2015,"FIRST OF APR","VIRGINIA"
"105,000",2015,"FIRST OF APR","WASHINGTON"
"4,700",2015,"FIRST OF APR","WEST VIRGINIA"
"25,000",2015,"FIRST OF APR","WISCONSIN"
"12,000",2015,"FIRST OF APR","WYOMING"
"7,000",2015,"FIRST OF JAN","ALABAMA"
"35,000",2015,"FIRST OF JAN","ARIZONA"
"13,000",2015,"FIRST OF JAN","ARKANSAS"
"1,440,000",2015,"FIRST OF JAN","CALIFORNIA"
"3,500",2015,"FIRST OF JAN","COLORADO"
"3,900",2015,"FIRST OF JAN","CONNECTICUT"
"305,000",2015,"FIRST OF JAN","FLORIDA"
"104,000",2015,"FIRST OF JAN","GEORGIA"
"10,500",2015,"FIRST OF JAN","HAWAII"
"81,000",2015,"FIRST OF JAN","IDAHO"
"6,000",2015,"FIRST OF JAN","ILLINOIS"
"9,000",2015,"FIRST OF JAN","INDIANA"
"12,500",2015,"FIRST OF JAN","IOWA"
"4,600",2015,"FIRST OF JAN","KANSAS"
"7,500",2015,"FIRST OF JAN","KENTUCKY"
"51,000",2015,"FIRST OF JAN","LOUISIANA"
"3,100",2015,"FIRST OF JAN","MAINE"
"7,500",2015,"FIRST OF JAN","MARYLAND"
"2,900",2015,"FIRST OF JAN","MASSACHUSETTS"
"16,500",2015,"FIRST OF JAN","MICHIGAN"
"28,000",2015,"FIRST OF JAN","MINNESOTA"
"34,000",2015,"FIRST OF JAN","MISSISSIPPI"
"12,000",2015,"FIRST OF JAN","MISSOURI"
"8,500",2015,"FIRST OF JAN","MONTANA"
"10,000",2015,"FIRST OF JAN","NEBRASKA"
"6,000",2015,"FIRST OF JAN","NEW JERSEY"
"7,000",2015,"FIRST OF JAN","NEW MEXICO"
"27,000",2015,"FIRST OF JAN","NEW YORK"
"24,000",2015,"FIRST OF JAN","NORTH CAROLINA"
"57,000",2015,"FIRST OF JAN","NORTH DAKOTA"
"18,000",2015,"FIRST OF JAN","OHIO"
"9,500",2015,"FIRST OF JAN","OKLAHOMA"
"77,000",2015,"FIRST OF JAN","OREGON"
"3,410",2015,"FIRST OF JAN","OTHER STATES"
"14,000",2015,"FIRST OF JAN","PENNSYLVANIA"
"17,000",2015,"FIRST OF JAN","SOUTH CAROLINA"
"50,000",2015,"FIRST OF JAN","SOUTH DAKOTA"
"9,500",2015,"FIRST OF JAN","TENNESSEE"
"191,000",2015,"FIRST OF JAN","TEXAS"
"6,000",2015,"FIRST OF JAN","UTAH"
"5,500",2015,"FIRST OF JAN","VERMONT"
"8,000",2015,"FIRST OF JAN","VIRGINIA"
"52,000",2015,"FIRST OF JAN","WASHINGTON"
"4,700",2015,"FIRST OF JAN","WEST VIRGINIA"
"16,500",2015,"FIRST OF JAN","WISCONSIN"
"5,500",2015,"FIRST OF JAN","WYOMING"
"8,500",2015,"FIRST OF JUL","ALABAMA"
"40,000",2015,"FIRST OF JUL","ARIZONA"
"23,000",2015,"FIRST OF JUL","ARKANSAS"
"730,000",2015,"FIRST OF JUL","CALIFORNIA"
"29,000",2015,"FIRST OF JUL","COLORADO"
"3,700",2015,"FIRST OF JUL","CONNECTICUT"
"164,000",2015,"FIRST OF JUL","FLORIDA"
"108,000",2015,"FIRST OF JUL","GEORGIA"
